part,Teil
history,Geschichte
search,Suche
only,nur
police,Polizei
thought,Gedanke
help,Hilfe
request,Anfrage
kind,Art
month,Monat
brother,Bruder
let,Lassen
because,da
to put,stellen
no,Nein
leash,Leine
them,Ihnen
city,Stadt
come,Kommen Sie
should,sollte
baby,Baby
hours,Std
will,Wille
while,während
meet again,Wiedersehen
square,Quadrat
speak,sprechen
understood,verstanden
knew,wusste
were,wurden
Warning,Warnung
here is,hier ist
could,könnten
case,Fall
give,geben Sie
type,Art
their,ihr
train,Zug
body,Karosserie
place,Ort
eyes,Augen
way,Weg
listen,Hören
whose,deren
find,finden
first,Erste
lost,hat verloren
hand,Hand
first,Erste
side,Seite
power,Energie
old,alt
be,sein
here,Hier
morning,Morgen
so much,so sehr
child,Kind
point,Punkt
came,kam
after,nach dem
sorry,Verzeihung
come,Kommen Sie
in front of,vor dem
towards,in Richtung
minutes,Protokoll
request,Anfrage
bedroom,Schlafzimmer
placed,platziert
beautiful,Schön
law,Gesetz
would like to,würde gerne
today,heute
husband,Ehemann
cause,weil
finally,endlich
hope,hoffen
Wait,Warte ab
left,links
new,Neu
job,Arbeit
Stop,Stoppen
Earth,Erde
account,Konto
given,gegeben
far,weit
end,Ende
believe,glauben
large,groß
rather,eher
will have,werde haben
girls,Mädchen
to play,spielen
office,Büro
